Lesson,Japanese,English
32,つき 月,moon.
32,きた,dt north
32,みなみ 南,south
32,にし 丁,west
32,ひがし 東,east
32,すいどう3 水道,"faucet, tap, water supply"
32,エンジン,engine
32,チーム,team
32,こんや SR,this evening
32,ゆうがた タ方,late afternoon
32,まえ,"a time in the past, before"
32,おそく 遅く,late (ime)
32,こんなに,like this
32,そんなに,like that (concerning a matter related to the
32,あんなに,like that (concerning a matter not related to the
32,もしかしたら,"possibly, perhaps"
32,それは いけませんれね。 That',s too bad.
32,※オリンピック Olympic Games,i
32,元気,vigor
32,無理を Les,work more than one’s capacity
32,ゆっくり します 0,take one’s time
32,星占い,horoscope
32,困ります,"be in trouble, have a problem"
32,宝くじ,lottery
32,当たります【[室くじが一],win [a lottery]
32,恋人,"swectheart boyfriend, girlfricnd"
32,[お]金持ち,rich pcrson
33,にげばます 逃げます,run away
33,さわぎます Bxet,make a noise
33,あきらめます,givc up
33,なげます II 投げます,throw
33,まもります 1 守ります,"keep, follow obey"
33,あげます 上ばげます,"raise, lift up"
33,さげます 下げます,"lower, pull down"
33,つたえます 伝えます,convey (a message)
33,ちゅういします 注意します,be careful [of the cars]
33,はずします 外します,be away [from one’s desk]
33,だめ[な],"no good, not permitted, impossible"
33,46 せき 席,seat
33,ファイト,fight
33,マーク,mark
33,ボール,ball
33,せんたくき 洗濯機,washing machine
33,てき ー機 ~,machine
33,さきそく 規則,"regulation, rule"
33,しようきんし 使用禁止 Do,not use.
33,たちいリりきんし 立入禁止 Kcep,out.
33,いりでぐち XD,entrance
33,"ひじょうでぐち 非常ロ ,",emergency exit
33,むりょう 無料,free of charge
33,ほんじつきゅうぎょう BARR,closed today
33,えいきぎょうちゅう 営業中,open for business
33,しようちゅう 使用中,in use
33,どういう3 一,what kind of ~
33,も う (,not) any longer (used with negatives)
33,あと 一 ~,left
33,ちゅうし,rh はん _ .
33,駐車遠反,parking violation
33,そりゃあ,well
33,ー以内,within ~
33,トド,police station
33,急用,urgent business
33,打ちます[電報を一],send [a telegram]
33,電報代,telegram charge
33,できるだけ,as much as possible
33,また,and
33,例えば,for example
33,キトク (7%),in a critical condition
33,重い 病気,serious illness
33,明日,tomorrow
33,留守,absence
33,留守番,looking after a house during the owner's
33,[お]祝い,celebration
33,亡くなります,"pass away, die"
33,利用 します,use
34,みがきます 磨きます,"brush [ones teeth], polish"
34,くみたてます 組み立てます,assemble
34,おります 1 折ります,"bend, fold, break, snap"
34,きが つきます HH つきます,"notice, become aware of [things left behind]"
34,つけます II,put [in soy sauce]
34,みつかります 見つかります [,lakey] be found
34,します 皿,"put on, wear [a tie]"
34,しつもんします DT 損問します,ask a question
34,| ほそい 細い,thin (of small diameter)
34,| ぼんおどり 金踊り Bon Festival,dance
34,スポーツクラブ,sports club
34,| かぐ 家具,furniture
34,1 キー,key
34,| シートベルト,seat belt
34,せつめいしょ 説明書,"explanatory pamphlet, instruction book,"
34,ず 図,"figure, drawing"
34,せん 線,line
34,やじるし REP,atrow (sign)
34,あか 赤,red (noun)
34,あお 青,blue (noun)
34,こん,"at navy blue, dark bluc (noun)"
34,きいろ 黄色,yellow (noun)
34,ちゃいろ 茶色,brown (noun)
34,しょうゆ,"soya, Soy sauce"
34,ソース,"sauce, Worcestershire sauce"
34,ーーか 一 ~,or~
34,ゆうべ,last night
34,さっき,a short while ago
34,茶道,tea ceremony
34,お茶を たてます,make green tea
34,先に,first (when doing something before something
34,載せます,"place on, load onto"
34,これで いいですか。 Is,this all night?
34,苦い,bitter
34,親子どんぶり,a bow! of cooked rice with chicken and egg
34,料,"matcrial, ingredient"
34,ー分,portion for ~ (used for indicating quantity)
34,個 (,counter for small objects)
34,たまねれぎ,onion
34,4分の1 は),one fourth
34,なべ,"pan, pot"
34,火 .,"firc, heating"
34,Ki かけます,put on the stove
34,溢えます Y,"be cooked, be boiled"
34,どんぶり,ceramic bow]
35,さきます 咲きます [,flowers] bloom
35,かわります 変わります [,the color] change
35,こまります 1 困ります,"be in trouble, have a problem"
35,つけます 付けます,"draw [a circle], mark [with a circle]"
35,ひろいます 拾います,pick up
35,かかります,"get through [on the telephone],"
35,[でんわが-ー] [電話が一],have [a phone call]
35,らく[な] 楽[な],"comfortable, easy"
35,ただしい 正しい,corcct right
35,めずらしい 珍しい,"rare, uncommon"
35,ー かた,vi person (respectful equivalent of ひと)
35,むこう 向こう,"over there, the other side"
35,むら AY,village
35,みなと 港,port harbor
35,きんじょ 近所,"neighborhood, vicinity"
35,おくじょう5 屋上,rooftop
35,| かいがい 海外,overseas
35,やまのばぼり 山登り,mountain climbing
35,ハイキング,hiking
35,きかい 機会,"chance, opporlunity"
35,きょか 許可,permission
35,£4 丸,circle
35,そうさ TRAE,operation
35,ほうはほう 方法,method
35,せつび 設備,"equipment, facilities"
35,カーテン,curtain
35,ひも,string
35,ふた,"lid, cover, cap"
35,は 葉,leaf
35,きょく 曲,a piece of music
35,たのしみ 楽しみ,"pleasure, enjoyment, expectation"
35,もっと,more
35,はじめに 初めに,first
35,これで おわります。 これで Rb) EF. We',ll finish now.
35,※箱根,resort in Kanagawa Prefecture
35,※日光,tourist spot in Tochigi Prefecture
35,それなら,in that case
35,褒行バス,night bus
35,り』こうし,w
35,旅行社,travel agency
35,詳しい,dctailed
35,スキー場,"ski resort, ski ground"
35,※志質高原,national park in Nagano Prefecture
35,交わります,keep company with
35,ことわざ,proverb
35,仲よく します 皿,be on good terms with
35,必要[な],"necessary, essential"
36,とどきます,jes iv [parcels] be delivered
36,でます HI 出ます,participate [in the game]
36,うちます 打ちます,type [on a word processor]
36,ちょきんします DD 時金します,save money
36,ふとります 太ります,get fat
36,やせます,"get slim, lose weight"
36,すぎます 過ぎます Pass [7,o'clock]
36,なれれます 慣れます,get accustomed to [the customs]
36,かたい BES,"hard, tough, solid"
36,でんし一,ate electronic ~
36,けいたいい 携帯一,portable ~
36,こうじょう 工場,factory
36,けんこう BEAR,health
36,けんどう 剣道,kendo (Japanese style fencing)
36,まいしゅう Sia,every week
36,まいつき 4A,every month
36,まいとし(まいねん) BE,every year
36,やっと,finally
36,かなり,fairly
36,かならず 必ず,"without fail, by any means"
36,ぜったいに 絶対に,absolutely (used with negatives)
36,じょうずに EFC,"well, skillfully"
36,できるだけ,as much as possible
36,このごろ,these days
36,ーずつ ~ (,some amount) per (some suit)
36,その ほうが一 That,is more ~
36,"※ショパン Chopin, Polish",musician (1810-49)
36,お客 様,"guest, customer"
36,特別[な],special
36,して いらっしゃいます,be doing (respectful equivalent of して います)
36,水泳,swimming
36,"ーーとか、一とか ~, ™,",and so on
36,チャレンジします,challenge
36,気持ち,"feeling, enthusiasm"
36,乗り物,"vehicle, means of transportation"
36,汽車,locomotive
36,RYO 一,many (people)
36,運びます,"carry, transport"
36,飛びます 1,fly
36,安全[な],safe
36,う,td
36,宇宙,"space, universe"
36,地 球,earth
36,※ライト兄弟 Wright,"brothers, American pioneers in aviation"
37,(ほめます RwHET,praise
37,しかります,scold
37,さそいます,"ee a invite, ask someone to join"
37,おこします 1 起こします,wake (someone) up
37,しょうたいします 招待します,invite
37,たのみます 頼みます,"ask, request"
37,ちゅういします TD 注意します,"warn, advise"
37,とります,"rob, steal —"
37,ふみます 踏みます,step on (someone’s foot)
37,こわします 壊します,"break, destroy"
37,よごします 汚します,make ~ dirty
37,おこないます 行います,"hold, carry out, practice"
37,ゆしゅつします 輸出します,export
37,ゆにゅうします DM 輸入します,import
37,ほんやくします OD 翻訳します,translate
37,はつめいします 発明します,invent
37,はっけんします TD BRLET,discover
37,20 せっけいします DT 設計します,"design, plan"
37,こめ K,nice
37,むぎ KK,"barley, wheat"
37,せきゆ 石油,oil
37,げんりょう 原料,raw material
37,デート,dale
37,どろるぼう HeAE,"thicf, robber"
37,けいかん Se,policeman
37,けんちくか SRR,architect
37,かがくしゃ 科学者,scientist
37,まんが Be,cartoon
37,せかいじゅう 世界中,all over the world
37,ーーじゅう 中,all over ~
37,ーーに よって,by ~
37,よかったですねれ。 That’,"s lucky, isn’t it?"
37,げん,ee a
37,"※グラハム・ベル Alexander Graham Bell, American",inventor
37,埋め立てます,reclaim
37,土地,land
37,利用します Ol,use a
37,アクセス,access
37,彫ります,"engrave, carve"
37,仲間,"colleague, friend"
37,その あと,after that
37,いュルしょは3けん,aye
37,ねずみ,mouse
37,一匹も いません。 There,is not a single (mouse).
37,れねむ,he
38,そだてます 育てます,"breed, bring up"
38,はこびます GUE T,"carry, transport"
38,ななくなります 亡くなります,pass away (euphcmistic expression for
38,にゅういんします DARLEY,enter hospital
38,たいいんします 退院します,leave hospital
38,いれます HI 入れます,turn on (the power switch]
38,きります 切ります,turn off [the power switch]
38,かけます 掛けます,lock
38,きもちが いい 気持ちが いい,"pleasant, agrccable"
38,きもちが わるい 気持ちが Rvs,"unpleasant, disgusting"
38,おおきな 一 大きな 一,large ~
38,ちいさな 一 小さな ~,small ~
38,あかちゃん 赤ちゃん,baby
38,しょうがっこう 小学校,elementary school
38,ちゅうがっこう 中学校,junior high school
38,えきまえ 駅前,the area in front of the station
38,かいがん 海岩,"seaside, seashore"
38,うそ,"lie, fib"
38,しょるい 書類,"document, papers"
38,でんげん 電源,power switch
38,| ーせい ~R,made in ~
38,"[あ、] いけない。 Oops!/ Oh,",no! (used when one has made a
38,おさきに お先に Excuse,me (for leaving before you).
38,※原爆ドーム,dome commemorating the atomic bombing of
38,研究室,"study room, professor’s office, laboratory"
38,きちんと,"neatly, tidily"
38,ーという2 本,"the book titled ~, the book named ~"
38,はんこ,seal stamp
38,押します[はんこを一,affix [a seal] 7
38,双子,twins
38,5 年生,"fifth grade, fifth year"
38,似て います IL,"resemble, be like"
38,性格,character
38,おとなしい,quiet
38,世話を します 0,take care
38,時間が たちます 1,time pass by
38,大好き [な],like very much
38,クラスズス,class
38,けんかします,"quarrel, fight"
38,不思議[な],"mysterious, strange"
39,こたえます 邊 答えます,answer [a question]
39,たおれます 倒れます,fa building] fall down
39,[うちが-] {,a house] burn down
39,[パンがー] [,bread] be baked
39,[にく がーー] [肉がー」 [,"meat] be roasted, be grilled"
39,とおります 通ります,pass [along a street]
39,| しにます 死にます,die
39,| びっくりします,be surprised
39,がっかりします,be disappointed
39,あんしんします 安心します,be relieved
39,ちこくします 遅刻します,"be late, come late"
39,そうたいします BPRLES,leave (work or school) earlier than usual
39,けんかします,"quarrel, fight"
39,リこんします,aE LOE divorce
39,ぶふくざつ[な] CHW),"complicated, complex"
39,じゃま[かな] ABE [4],"obstructive, in the way"
39,きたない 汚い,dirty
39,うれしい,glad happy
39,かなしい HL,sad
39,はずかしい 恥ずかしい,embarrassed ashamed
39,じしん 地震,earthquake
39,たいふう,ok typhoon
39,OU 火事,fire
39,じこ 事故,accident
39,[お]みあい [お] 見合い,interview with a view to marriage
39,でんわだい,wn telephone charge
39,フロント,"front desk, reccption desk"
39,ーごうしつ ー号室,room number 一
39,あせ,iF perspiration (一を かきます: perspire)
39,タオル,towel
39,せっけん,soap
39,おおぜい KF,a great number of people
39,おつかれさまでした。 お波れさまでした。 Thank,you for your hard work. (used to
39,うかがいます。 伺います。 ',m coming. (humble way of saying いきます)
39,途 中で,"on the way, in the midst of"
39,トラック,"truck, lory 39"
39,ぶつかります,"bump, collide"
39,並びます,"stand in a queue, line up"
39,大,adult
39,洋服 Western,clothes
39,西洋化します,be Westernized
39,合います,"fit, suit"
40,かぞえます 数えます,count
40,はかります 測ります、量リます,"mcasurc, weigh"
40,たしかめます 確かめます,"confinn, make sure"
40,あいます 合います [,the size] fit
40,しゅっぱつします DT,we CET depart
40,とうちゃくします HO 到着します,arrive
40,よいます TI 酔います,get drunk
40,SIFA CH] 危険[な],dangerous
40,ひつよう[な] 必要[な],necessary
40,う ちゅう 宇宙,"space, universe"
40,ちきゅう 地球,carth
40,ぼうねれねんかい SFE,year-end party
40,しんれねれんかい 新年会 New Year',s party
40,たいかい 大会,"mass mecting, convention"
40,マラソン,marathon
40,| コンテスト,contest
40,おもて,"x face, front"
40,| うら B3,back (side)
40,| NAL 返事,reply
40,もうしこみ 申し込み,application
40,ほんとう,"truth, fact"
40,まちがい,mistake
40,きず %,"defect, wound, scratch"
40,ズボン,trousers
40,Bix 重さ,weight
40,たかさ 高さ,height
40,おおきさ 大きさ,"size, scale"
40,[-]びん [-]便,"flight, flight number"
40,ーごう ー号,"train numbcr, typhoon number, etc."
40,= ー個 (,counter for small objects)
40,ーほん (一ぼん、一ぼん) 一本 (,counter for long objects)
40,ーはい (-ー-ばい、-ばい) 一本 ー,"glass or cup of (counter for full cups, glasses, etc)"
40,ーキロ,"kilograms, kilometers"
40,ーグラム ー,grams
40,ーセンチ,centimeters
40,ーミリ ー,millimeters
40,ーーいいじょう 一以上,"not less than ~, over ~"
40,ーーいか 一以下,"not more than ~, under ~"
40,さあ,"well, let mc see (uscd when unsure of something)"
40,どうでしょうか。 How,is ~? (polite way of saying どうですか)
40,クラス,class
40,テスト,"test, cxamination"
40,成績,"performance, score, result"
40,ところで,by the way
40,いらっしゃいます,come (respectful equivalent of きます) 89
40,様子,"situation, condition, appearance"
40,事件,incident case
40,オートバイ,motorcycle
40,積みます 1,"load, pile up"
40,運転手,drivcr
40,離れた,remote
40,が,but
40,き,mう
40,動かします,"start, operate, move"
40,一生悪命,with all onc’s effort
40,手に 入れます,"obtain, get"
40,今でも,even now
40,うわさします 項,gossip
41,いただきます,receive (humble equivalent of もらいます)
41,くださいます,give (respectful equivalent ofくれます)
41,やります 1,give (to a younger person or subordinate)
41,よびます 1 呼びます,invite
41,とりかえます 取り替えます,exchange
41,しんせつに します 皿親切に します,bekindto
41,かわいい,"lovely, cute"
41,おいわい お祝い,"celebration, gift(~ * します・ celebrate)"
41,おとしだま お年玉,money given as a New Years gift
41,[お】みまい [お] RAO,"expression of sympathy, consolatory gift to a"
41,きょうみ 正味,interest
41,([コンビピューターに] 一が あります,be
41,じょうほう 情報,information
41,ぶんぼう 文法,grammar
41,はつおん 発音,pronunciation
41,さる 1K,"ape, monkey"
41,おもちゃ,toy
41,えほん 絵本,picture book
41,えはがき 絵はがき,picture postcard
41,ドライバー,screwdriver
41,ハンカチ,handkerchicf
41,くつした 靴下,"socks, stockings"
41,てぶてくろ 手袋,gloves
41,ゆびわ,jah ring
41,バッグ,bag
41,Biss 祖父 (,my) grandfather
41,まご KR,grandchild
41,おば (,my) aunt
41,おばさん (,someone elses) aunt
41,おととし,the year before last
41,はあ,"yes, I see"
41,申し訳 ありません。 ’,m sorry./Exeuse me.
41,預かります,"keep, reccive (a thing) in trust"
41,先日,the other day
41,了助かります,be of help
41,ある 一,"a certain ~, one ~"
41,子どもたち,children
41,いじめます,"bully, abuse, ill-treat"
41,かめ ・,"turtle, tortoise"
41,助けます HI,"save, help"
41,[お]城,castle
41,お姫欄,princess
41,楽しく,"happily, merrily"
41,すると,"and, then"
41,真っ白[な] Pure,white
42,つつみます 名みます ‘,wrap
42,わかします 沸かします,boil
42,まぜます 混ぜます,mix
42,けいさんします 計算します,calculate
42,あつい FRAY,thick
42,うすい 培い,thin
42,べんごし 弁護士,"lawyer, attorney"
42,おんがくか 音楽,musician
42,こどもたち 子どもたち,children
42,ふたり ZA,couple
42,きょういく 教育,education
42,れきし FES,history
42,ぶんか 文化,culture
42,しゃかい 社会,socicty
42,(ほうりつ 法律,law
42,せんそう 戦争,war
42,へいわ 平和,peace
42,もくてき 目的,purpose
42,あんぜん 安全,safety
42,ろんぶん 論文,"thesis, academic paper"
42,かんけい 関係,"relation, connection"
42,ミキサー,"mixer, blender"
42,やかん,kettle
42,せんぬき ABIR,cap opener
42,かんきり 缶切り,can opener
42,かんづめ,"eH canned food, tinned food"
42,ぶふろしき,wrapping cloth uscd to carry things
42,そろばん,abacus
42,たいおんけい 体温る (,clinical) thermometer
42,ざいりょう 材料,"material, ingredient"
42,いし 石,stone
42,ピラミッド,pyramid
42,データ,data
42,ファイル,file
42,ある 一,"a certain ~, onc ~"
42,いっしょうけんめい ARE,with all one’s effort
42,なぜ,why
42,※ベペートーベン Ludwig,"van Beethoven, German composer"
42,ローン,loan 101
42,セット,set
42,あと,"the amount left unused, the rest"
42,カップラーメン,instant Chinese noodles sold in a ready-to-use
42,インスタントラーメン,instant Chincse noodles
42,なべ,"pan, pot"
42,どんぶり,ceramic bowl
42,調査,"investigation, survey"
42,カップ,cup
42,また,and
42,ーの 代わりに,"in place of ~, instead of ~"
42,どこででも,in any place
42,今では,now
43,ふえます YT 増えます [,exports] increase
43,へります 減ります {,exports] decrease
43,あがります LAY ET [,the price] rise
43,さがります 下がリます [,the price] fall
43,[ねだんが-ー] (,aes ~]
43,きれます 切れます,"ja string] break, snap"
43,とれます {,a button] come off
43,おちます 落ちます [,baggage] fall down
43,なくなります {,"petrol, gasoline] run out, be lost"
43,じょうぶ[な] KAT],"strong, healthy"
43,へん[な 変[な],"strange, peculiar"
43,しあわせ[な],tt (tr) happy
43,うまい,"tasty, good at"
43,まずい,not tasty
43,つまらない,"boring, uninteresting"
43,がガソリン,"petrol, gasoline"
43,ひ 火,fire
43,だんぼう,a heating
43,れいぼう OR,air-conditioning
43,センス,"laste, scnse ([ふくくの] 一が あります:have"
44,なきます 泣きます,cry
44,わらいます 笑います,"laugh, smile"
44,かわきます 乾きます,dry
44,ぬれます,get wet
44,すべります BYES,slip
44,おきます 起きます [,an accident] happen
44,ちょうせつします WHLIT,adjust
44,あんぜん[な] 実全[な],safe
44,ていれねれい[な] 丁寧[な],"polite, courteous, careful"
44,こまかい 細かい,"small, fine"
44,こい RNY,"strong (taste), dark (color}"
44,うすい 導い,"weak (taste), light (color)"
44,なみだ R,tear
44,ようしょ<く,eR Western dish
44,おかず,side dish
44,りょう =,quantity
44,ーばい -管 ー,times
44,はんぶん 半分,half
44,シングル,single room
44,ツイン,twin-bedded room
44,たんす,chest of drawers
44,りゆ3 理由,reason
44,どう さいますか。 What,can I do for you?
44,カット,haircut
44,シャンプブー,shampoo
44,どういうふうに なさいますか。 How,would you like it done?
44,ショート,short
44,ーみたいに して ください。 Do,it like 一.
44,これで よろしいでしょうみか。 Would,this be all right?
44,[どうも] お疲れさまでした。 Thank,you for being patient.
44,また,and
44,表現,expression
44,例えば,for example
44,これらち,these things rF
45,あやまります 謝ります,apologize
